,Country,TotalCases,TotalDeaths,TotalRecovered,POPULATION,MURDER RATE/1000PEOPLE,INVOLVING IN NUMBER OF WAR,Buddhists,Christians,Folk Religions,Hindus,Jews,Muslims,Other Religions,Unaffiliated,VEG_PERCENTAGE,NON_VEG_PERCENTAGE
91,luxembourg,34539,312,24073,,8.08304347826087,47.3913043478261,0.3,70.6,0.3,0.3,0.3,2.3,0.3,26.7,,
92,s. korea,34201,526,27653,,8.08304347826087,47.3913043478261,,,,,,,,,,
93,australia,27902,908,25595,,8.08304347826087,47.3913043478261,2.9,61.7,0.3,1.7,0.3,3,0.3,28.6,,
94,finland,24912,393,16800,,8.08304347826087,47.3913043478261,0.3,77.7,0.3,0.3,0.3,1.3,0.3,20.8,,
95,cameroon,24117,437,22177,,8.08304347826087,47.3913043478261,0.3,69.6,3.2,0.3,0.3,19.3,2.7,5.2,,
96,sri lanka,23484,116,17002,,8.08304347826087,47.3913043478261,68.6,7.2,0.3,13.7,0.3,10.4,0.3,0.3,,
97,ivory coast,21310,131,20947,,8.08304347826087,47.3913043478261,,,,,,,,,,
98,uganda,20145,201,8989,,8.08304347826087,47.3913043478261,0.3,86.1,0.3,0.3,0.3,12.1,0.3,0.3,,
99,zambia,17608,357,16983,,8.08304347826087,47.3913043478261,0.3,97.4,0.3,0.3,0.3,0.3,0.3,0.3,,
100,sudan,17404,1235,10175,,8.08304347826087,47.3913043478261,0.3,5.4,2.8,0.3,0.3,90.7,0.3,1,,
101,madagascar,17341,251,16657,,8.08304347826087,47.3913043478261,0.3,84.7,4.7,0.3,0.3,3.1,0.3,7.3,,
102,latvia,17075,206,1795,,8.08304347826087,47.3913043478261,0.3,54.3,0.3,0.3,0.3,0.3,0.3,45.3,,
103,senegal,16075,333,15597,,8.08304347826087,47.3913043478261,0.3,3.3,0.3,0.3,0.3,96.6,0.3,0.3,,
104,mozambique,15613,130,13677,,8.08304347826087,47.3913043478261,0.3,57.8,7.6,0.3,0.3,17.2,0.3,17.3,,
105,angola,15103,346,7763,,8.08304347826087,47.3913043478261,0.3,90.5,4.2,0.3,0.3,0.3,0.3,5.2,,
106,namibia,14345,151,13439,,8.08304347826087,47.3913043478261,0.3,97.5,0.3,0.3,0.3,0.3,0.3,1.9,,
107,french polynesia,14096,73,4842,,8.08304347826087,47.3913043478261,0.3,94,0.3,0.3,0.3,0.3,0.3,4.9,,
108,guinea,13097,76,12004,,8.08304347826087,47.3913043478261,0.3,10.8,2.7,0.3,0.3,84.6,0.3,1.8,,
109,maldives,12994,46,11902,,8.08304347826087,47.3913043478261,0.3,0.3,0.3,0.3,0.3,98.4,0.3,0.3,,
110,drc,12702,333,11585,,8.08304347826087,47.3913043478261,,,,,,,,,,
111,estonia,12308,118,7078,,8.08304347826087,47.3913043478261,0.3,39.3,0.3,0.3,0.3,0.3,0.3,60.2,,
112,tajikistan,12155,86,11559,,8.08304347826087,47.3913043478261,,,,,,,,,,
113,french guiana,11179,70,9995,,8.08304347826087,47.3913043478261,0.3,84,8.6,1.4,0.3,1.3,0.3,3.9,,
114,cabo verde,10747,105,10229,,8.08304347826087,47.3913043478261,,,,,,,,,,
115,jamaica,10709,256,6066,,8.08304347826087,47.3913043478261,0.3,77.3,4.6,0.3,0.3,0.3,0.3,17,,
116,cyprus,10383,48,2057,,8.08304347826087,47.3913043478261,0.3,72.3,0.3,0.3,0.3,25,0.3,1.9,,
117,botswana,10258,31,7717,,8.08304347826087,47.3913043478261,0.3,76.4,4.4,0.3,0.3,0.3,0.3,17.5,,
118,zimbabwe,9950,276,8482,,8.08304347826087,47.3913043478261,0.3,87.1,4,0.3,0.3,0.3,0.3,7.6,,
119,malta,9752,133,7557,,8.08304347826087,47.3913043478261,0.3,97,0.3,0.3,0.3,0.3,0.3,2.5,,
120,haiti,9272,232,7951,,8.08304347826087,47.3913043478261,0.3,87,2.1,0.3,0.3,0.3,0.3,10.7,,
121,gabon,9191,59,9037,,8.08304347826087,47.3913043478261,0.3,75.6,5.7,0.3,0.3,12.2,0.3,5.7,,
122,mauritania,8547,175,7717,,8.08304347826087,47.3913043478261,0.3,0.3,0.3,0.3,0.3,99,0.3,0.3,,
123,guadeloupe,8344,149,2242,,8.08304347826087,47.3913043478261,0.3,95.9,0.3,0.3,0.3,0.3,0.3,2.5,,
124,cuba,8233,134,7586,,8.08304347826087,47.3913043478261,0.3,58.9,17.6,0.3,0.3,0.3,0.3,23.2,,
125,réunion,7940,40,7172,,8.08304347826087,47.3913043478261,,,,,,,,,,
126,syria,7797,413,3500,,8.08304347826087,47.3913043478261,0.3,5.2,0.3,0.3,0.3,92.8,0.3,2,,
